"Date","Price","Open","High","Low","Change %"
"Nov 04, 2004","58.0545","58.0490","58.2105","57.8210","-0.02%"
"Nov 03, 2004","58.0640","57.9200","58.1100","57.5280","0.36%"
"Nov 02, 2004","57.8565","57.8260","57.9425","57.5190","0.00%"
"Nov 01, 2004","57.8555","58.0060","58.1675","57.6690","-0.18%"
"Oct 29, 2004","57.9610","57.8610","58.0910","57.5620","0.08%"
"Oct 28, 2004","57.9155","57.8600","58.1265","57.5140","-0.04%"
"Oct 27, 2004","57.9400","58.1170","58.5250","57.7780","-0.47%"
"Oct 26, 2004","58.2115","58.3710","58.6575","57.9890","-0.33%"
"Oct 25, 2004","58.4045","58.0670","58.6045","58.0540","0.71%"
"Oct 22, 2004","57.9920","57.6110","58.0050","57.4880","0.55%"
"Oct 21, 2004","57.6765","57.5580","57.9295","57.4410","0.12%"
"Oct 20, 2004","57.6075","57.2470","57.7955","57.1490","0.54%"
"Oct 19, 2004","57.2965","57.1920","57.3955","56.9920","0.08%"
"Oct 18, 2004","57.2505","57.1070","57.4205","57.0120","0.28%"
"Oct 15, 2004","57.0880","56.6500","57.2800","56.4390","0.67%"
"Oct 14, 2004","56.7080","56.5000","56.8960","56.3810","0.26%"
"Oct 13, 2004","56.5635","56.4730","56.6395","55.9250","0.11%"
"Oct 12, 2004","56.5025","56.4040","56.7825","56.3950","-0.33%"
"Oct 11, 2004","56.6870","56.7990","56.8870","56.5820","-0.19%"
"Oct 08, 2004","56.7930","56.2760","56.9180","56.1460","0.84%"
"Oct 07, 2004","56.3205","56.2590","56.5055","56.1660","-0.00%"
"Oct 06, 2004","56.3220","56.3800","56.6110","56.0670","-0.18%"
"Oct 05, 2004","56.4260","56.2280","56.5250","56.1090","0.25%"
"Oct 04, 2004","56.2875","56.8450","56.8855","56.1230","-1.13%"
"Oct 01, 2004","56.9290","57.0580","57.1650","56.7450","-0.30%"
"Sep 30, 2004","57.1030","56.6390","57.1880","56.5030","0.73%"
"Sep 29, 2004","56.6865","56.7060","56.9625","56.4560","-0.11%"
"Sep 28, 2004","56.7505","56.4020","56.9735","56.3650","0.48%"
"Sep 27, 2004","56.4770","56.2550","56.5410","56.1740","0.37%"
